X,Y,name,name:en,place,landuse,population,is_in,source,name:af,name:nr,name:st,name:nso,name:ssw,name:ts,name:tn,name:ve,name:xh,name:zu,osm_id,osm_type
29.1147222,-23.67,Ga-Rampuru,,village,,,"Limpopo, South Africa",sagns,,,,,,,,,,,262720331,nodes
29.1866667,-23.7041667,Maupye,,village,,,"Limpopo, South Africa",sagns,,,,,,,,,,,262721290,nodes
29.2472222,-23.6855556,Mphela,,village,,,"Limpopo, South Africa",sagns,,,,,,,,,,,262721546,nodes
29.1066667,-23.5913889,Rapitsi,,village,,,"Limpopo, South Africa",sagns,,,,,,,,,,,262721990,nodes
29.6675409,-29.3848141,Kamberg,,village,,,,,,,,,,,,,,,2776989830,nodes
22.1887723,-34.0690569,Tergniet,,village,,,"Western Cape, South Africa",sagns,,,,,,,,,,,262722259,nodes
22.2382521,-34.0521443,The Island,,village,,,"Western Cape, South Africa",sagns,,,,,,,,,,,262722270,nodes
22.1765039,-34.0739945,Reebok,,village,,,"Western Cape, South Africa",sagns,,,,,,,,,,,305672386,nodes
22.3717268,-33.9205703,Geelhoutboomberg,,isolated_dwelling,,,,,,,,,,,,,,,799836557,nodes
22.6729889,-33.850893,Kleinplaat,,isolated_dwelling,,,"Western Cape, South Africa",sagns,,,,,,,,,,,262707553,nodes
22.2133333,-34.0538889,Bergsig,,village,,,"Western Cape, South Africa",sagns,,,,,,,,,,,262719262,nodes
22.0571884,-34.0486604,Die Erwe,,hamlet,,,"Western Cape, South Africa",sagns,,,,,,,,,,,262719861,nodes
22.289317,-34.0473288,Glentana Hills,,village,,,"Western Cape, South Africa",sagns,,,,,,,,,,,262720417,nodes
22.2091667,-34.0377778,Greenhaven,,village,,,"Western Cape, South Africa",sagns,,,,,,,,,,,262720448,nodes
22.2959118,-34.0498495,Outeniquastrand,,village,,,"Western Cape, South Africa",sagns,,,,,,,,,,,262721868,nodes
22.2247222,-34.0575,Suiderkruis,,village,,,"Western Cape, South Africa",sagns,,,,,,,,,,,262722228,nodes
27.8609707,-24.3799034,Kololo,,village,,,,,,,,,,,,,,,2622433144,nodes
30.045066,-23.0665897,Tylers,,village,,,,,,,,,,,,,,,12485395008,nodes
31.2541667,-28.2669444,Mpungamhlophe,,village,,,"KwaZulu-Natal, South Africa",sagns,,,,,,,,,,,262721548,nodes
26.859444,-28.103056,Virginia,,town,,,"Free State, South Africa",sagns,,,,,,,,,,,66135953,nodes
28.6122125,-28.6041205,Ngope-Ts'ehla,,hamlet,,,,LSPP,,,,,,,,,,,11356572884,nodes
28.6150503,-28.5991894,Ha Babitle,,village,,,,LSPP,,,,,,,,,,,11356572885,nodes
28.6187839,-28.6021189,Saballa,,hamlet,,,,LSPP,,,,,,,,,,,11356572886,nodes
28.6295772,-28.6057265,Moru-Mots'o,,isolated_dwelling,,,,LSPP,,,,,,,,,,,11356577210,nodes
19.5261111,-34.375,Tesselaarsdal,,village,,,"Western Cape, South Africa",sagns,,,,,,,,,,,262717690,nodes
26.7513889,-27.1461111,Swartfontein,,village,,,"Free State, South Africa",sagns,,,,,,,,,,,262722247,nodes
26.7180556,-24.9294444,Nonceba,,village,,,"North West, South Africa",sagns,,,,,,,,,,,262713801,nodes
26.4305556,-25.2066667,Uitkyk,,village,,,,sagns,,,,,,,,,,,262722322,nodes
30.2652776,-23.9322864,Ka-Xialana,,village,,,,,,,,,,,,,,,2407646902,nodes
27.0786111,-32.6194444,Upper Mnyameni,,hamlet,,,,sagns,,,,,,,,,,,7257910720,nodes
27.1213889,-32.5880556,Nyanga,,hamlet,,,,sagns,,,,,,,,,,,7257910722,nodes
26.9941667,-32.6738889,Mdeni,,hamlet,,,,sagns,,,,,,,,,,,7257910723,nodes
26.9508333,-32.6194444,Magxagxeni,,hamlet,,,,sagns,,,,,,,,,,,7257910724,nodes
27.1080556,-32.6213889,Lower Mnyameni,,hamlet,,,,sagns,,,,,,,,,,,7257910725,nodes
26.9422222,-32.6455556,KwaGuquka,,hamlet,,,,sagns,,,,,,,,,,,7257910728,nodes
26.96,-32.5966667,Esikhululweni,,hamlet,,,,sagns,,,,,,,,,,,7257910730,nodes
26.9555556,-32.6280556,Emkhiwaneni,,hamlet,,,,sagns,,,,,,,,,,,7257910731,nodes
28.9340168,-28.7099476,Thendele,,hamlet,,,,,,,,,,,,,,,7252706026,nodes
30.5427922,-28.5038136,Embidlini,,hamlet,,,,,,,,,,,,,,,1347289441,nodes
30.608506,-28.2308151,Mqhedlana,,hamlet,,,,,,,,,,,,,,,1348522715,nodes
30.6049147,-28.3090521,Ngedla,,hamlet,,,,,,,,,,,,,,,1348609633,nodes
30.6774502,-28.4054077,Klwayisi,,hamlet,,,,,,,,,,,,,,,1348631615,nodes
30.7208333,-28.3333333,Maguzini,,hamlet,,,"KwaZulu-Natal, South Africa",sagns,,,,,,,,,,,262709053,nodes
30.7814071,-28.0045126,Purim Farm,,hamlet,,,,,,,,,,,,,,,1348522716,nodes
30.7213523,-27.9877834,eMondlo,,town,,,"KwaZulu-Natal, South Africa",sagns,,,,,,,,,,,262720063,nodes
30.7008743,-28.3662003,Kwa-Thusi,,hamlet,,,,,,,,,,,,,,,1348609635,nodes
30.7228226,-28.4143167,Hlazakazi,,hamlet,,,,,,,,,,,,,,,1348631597,nodes
30.8220358,-28.4292658,Broadache,,hamlet,,,,,,,,,,,,,,,1348631617,nodes
30.7179521,-28.369228,Qwabe,,hamlet,,,,,,,,,,,,,,,1348631618,nodes
30.6622935,-28.1957067,Kwaluvisi,,hamlet,,,"KwaZulu-Natal, South Africa",sagns,,,,,,,,,,,262708204,nodes
30.6547222,-28.2166667,KwaNgedle,,hamlet,,,"KwaZulu-Natal, South Africa",sagns,,,,,,,,,,,262708345,nodes
30.6338158,-28.1780556,Kwazicole,,hamlet,,,"KwaZulu-Natal, South Africa",sagns,,,,,,,,,,,262708413,nodes
30.7685862,-27.9932618,Enhlahleni,,hamlet,,,,,,,,,,,,,,,1348522597,nodes
30.7817201,-28.1808438,Manyongazane,,hamlet,,,,,,,,,,,,,,,1348522600,nodes
30.7409853,-28.0798816,Shayanyawo,,hamlet,,,,,,,,,,,,,,,1348522630,nodes
30.6999313,-28.151959,Magabeni,,hamlet,,,,,,,,,,,,,,,1348522647,nodes
30.6709266,-28.1929072,Qedusizi,,hamlet,,,,,,,,,,,,,,,1348522694,nodes
30.7413939,-28.1865882,Maduladula,,hamlet,,,,,,,,,,,,,,,1348522724,nodes
30.6143888,-28.1939563,Mafitleng,,hamlet,,,,,,,,,,,,,,,1348522732,nodes
30.7364891,-28.3507074,Kwa-Ngobese,,hamlet,,,,,,,,,,,,,,,1348609603,nodes
30.7608096,-28.3453813,Bhekabani,,hamlet,,,,,,,,,,,,,,,1348609620,nodes
30.7596021,-28.3292437,Kwa-Nyezi,,hamlet,,,,,,,,,,,,,,,1348609625,nodes
30.7379683,-28.324662,Esigqumeni,,hamlet,,,,,,,,,,,,,,,1348609650,nodes
30.7390048,-28.2793496,Kwa-Vuma,,hamlet,,,,,,,,,,,,,,,1348609676,nodes
30.7749172,-28.3863711,Silutshana,,hamlet,,,,,,,,,,,,,,,1348609687,nodes
30.752128,-28.3720734,Mgxangala,,hamlet,,,,,,,,,,,,,,,1348609696,nodes
30.6240705,-28.2532982,Ngwetshana,,hamlet,,,,,,,,,,,,,,,1348609719,nodes
30.7708919,-28.2367464,Patsoana,,hamlet,,,,,,,,,,,,,,,1348609753,nodes
30.7413798,-28.2488997,Mbewunye,,hamlet,,,,,,,,,,,,,,,1348631595,nodes
29.0410425,-23.4745313,Ga-Mantlhodi,,town,,,,,,,,,,,,,,,8953470181,nodes
28.1796336,-25.8603028,Abrazo,,,residential,,,,,,,,,,,,,,11350305607,nodes
28.1786517,-25.8600508,Vista,,,residential,,,,,,,,,,,,,,11350305608,nodes
28.1801309,-25.8598332,Aldea,,,residential,,,,,,,,,,,,,,11350266928,nodes
18.374033,-32.3280199,Verlorevlei,,hamlet,,,,,Verlorevlei,,,,,,,,,,7222345935,nodes
24.868611,-26.553056,Stella,,town,,,,GPS,,,,,,,,,,,262717556,nodes
24.7300938,-26.955347,Vryburg,Vryburg,town,,,"North West, South Africa",sagns,,,,,,,,,,,33442455,nodes
20.3344878,-33.4960036,Kruisrivier,,isolated_dwelling,,,,,,,,,,,,,,,2305964264,nodes
22.9905576,-29.3340794,Dieprivier,,isolated_dwelling,,,,,,,,,,,,,,,7171803354,nodes
19.3552279,-33.301937,Lushof,,isolated_dwelling,,,,,,,,,,,,,,,7160641029,nodes
19.3432412,-33.306945,Welgemeen,,isolated_dwelling,,,,,,,,,,,,,,,7160641057,nodes
19.3738291,-33.2737805,Elandsrivier,,isolated_dwelling,,,,,,,,,,,,,,,7160641215,nodes
19.7882735,-34.6593777,Blomfontein,,isolated_dwelling,,,,,,,,,,,,,,,7160472116,nodes
19.7796261,-34.6525822,Klein Blomfontein,,isolated_dwelling,,,,,,,,,,,,,,,7160472117,nodes
19.7709572,-34.6783933,Vlooikraal,,isolated_dwelling,,,,,,,,,,,,,,,7160472556,nodes
19.7753774,-34.6753582,Riverside,,isolated_dwelling,,,,,,,,,,,,,,,7160472557,nodes
18.292222,-31.523056,Koekenaap,,village,,,"Western Cape, South Africa",sagns,,,,,,,,,,,262707741,nodes
29.081389,-24.597222,Roedtan,,village,,,"Limpopo, South Africa",sagns,,,,,,,,,,,262715587,nodes
20.615,-28.773056,Kakamas,,village,,,"Northern Cape, South Africa",sagns,,,,,,,,,,,262720759,nodes
18.625556,-31.775,Klawer,,town,,,"Western Cape, South Africa",sagns,,,,,,,,,,,262720833,nodes
19.443611,-30.955278,Loeriesfontein,,town,,,"Northern Cape, South Africa",sagns,,,,,,,,,,,262721009,nodes
26.406361,-24.63852,Sikwane,,village,,,,,,,,,,,,,,,2466744584,nodes
18.227778,-32.695833,Dwarskersbos,,town,,,"Western Cape, South Africa",sagns,,,,,,,,,,,262719961,nodes
23.457222,-34.001944,Keurboomstrand,,town,,,"Western Cape, South Africa",sagns,,,,,,,,,,,262720786,nodes
23.338333,-34.007222,Wittedrif,,village,,,"Western Cape, South Africa",sagns,,,,,,,,,,,262722528,nodes
24.448352,-27.966515,Boetsap,,village,,,,,,,,,,,,,,,1388683790,nodes
23.27704,-25.270124,Werda,,village,,,,,,,,,,,,,,,1484971111,nodes
