name,name:en,place,landuse,population,is_in,source,name:af,name:nr,name:st,name:nso,name:ssw,name:ts,name:tn,name:ve,name:xh,name:zu,osm_id,osm_type
,,village,,,,,,,,,,,,,,,2657702323,nodes
Sefikile,,village,,,,,,,,,,,,,,,8853715731,nodes
Ga-Ramosidi,,village,,,,,,,,,,,,,,,8853715732,nodes
Mopyane,,town,,,,,,,,,,,,,,,8853146244,nodes
Malebitsa,,village,,,"Limpopo, South Africa",sagns,,,,,,,,,,,262708219,nodes
Monnakato,,town,,,,sagns,,,,,,,,,,,262721467,nodes
Saalskop,,village,,,,Wikimapia,,,,,,,,,,,2720701900,nodes
Hardekraaltjie,,hamlet,,,,,,,,,,,,,,,1456550467,nodes
Mankaipaya,,village,,,,,,,,,,,,,,,8812004866,nodes
Napier,,town,,4214,"Western Cape, South Africa",sagns,,,,,,,,,,,262721558,nodes
Sussex,,isolated_dwelling,,,,,,,,,,,,,,,5397531752,nodes
Galileo Heights,,,residential,,,,,,,,,,,,,,12105859440,nodes
Marion Base,Marion Base,village,,,,,,,,,,,,,,,6245633417,nodes
Ha Mokhoathi,,isolated_dwelling,,,,LSPP,,,,,,,,,,,11339094270,nodes
Ha Sefako,,village,,,,LSPP,,,,,,,,,,,11339094326,nodes
Makhalong Koshete,,isolated_dwelling,,,,LSPP,,,,,,,,,,,11338855987,nodes
Ha Sekoati,,village,,,,LSPP,,,,,,,,,,,11338675166,nodes
Ha Ts'oeunyana,,village,,,,LSPP,,,,,,,,,,,11338795381,nodes
Ha Mohau,,hamlet,,,,LSPP,,,,,,,,,,,11338795423,nodes
Ha Molisana,,hamlet,,,,LSPP,,,,,,,,,,,11338675167,nodes
Ha Mokhobo,,hamlet,,,,LSPP,,,,,,,,,,,11338795424,nodes
Bloemfontein,Bloemfontein,city,,370000,"Free State, South Africa",sagns,,,,,,,,,,,26938845,nodes
Vereeniging,Vereeniging,city,,100000,,sagns,,,,,,,,,,,35960525,nodes
Princeton Park,,,residential,,,,,,,,,,,,,,7607610064,nodes
Kampersrus AH,,village,,,,,,,,,,,,,,,4347551680,nodes
Ha-Maputsoe,,town,,,,,,,,,,,,,,,3348032966,nodes
Hlotse,,town,,,,,,,,,,,,,,,4418230668,nodes
Ga-Ramaswikana,,village,,,,,,,,,,,,,,,4344244741,nodes
Tshabelang,,village,,,"Mpumalanga, South Africa",sagns,,,,,,,,,,,262722296,nodes
,,village,,,,,,,,,,,,,,,2682191437,nodes
Thembani,,village,,,,sagns,,,,,,,,,,,262717852,nodes
Clanville,,hamlet,,,"Eastern Cape, South Africa",sagns,,,,,,,,,,,262704677,nodes
,,village,,,,,,,,,,,,,,,2675391850,nodes
Leeupoort Vakansiedorp,,town,,,,,,,,,,,,,,,12269729758,nodes
Cape Town,Cape Town,city,,3740026,,sagns,Kaapstad,,,Cape Town,,,Cape Town,Cape Town,iKapa,IKapa,32675806,nodes
Riverlands,,village,,,"Western Cape, South Africa",sagns,,,,,,,,,,,262720446,nodes
Renovaal,,village,,,,,,,,,,,,,,,1371616879,nodes
Glen Eden Estate,,hamlet,,,,,,,,,,,,,,,2623129363,nodes
Karamaam,,hamlet,,,,,,,,,,,,,,,4217711869,nodes
Hydro Park,,village,,,,,,,,,,,,,,,4193124552,nodes
Bothithong,,village,,,,,,,,,,,,,,,4189413996,nodes
Dinopeng,,town,,,,,,,,,,,,,,,4187193844,nodes
Ditshilabeleng,,hamlet,,,,,,,,,,,,,,,4191519865,nodes
Vrolik,,isolated_dwelling,,,,,,,,,,,,,,,4180500217,nodes
Kalkdam,,hamlet,,,,,,,,,,,,,,,4140174100,nodes
Vaal Marina Community Center,,village,,,"Gauteng, South Africa",sagns,,,,,,,,,,,262718173,nodes
Sefahlane,,village,,,,,,,,,,,,,,,5409582316,nodes
Naledi,,village,,,,,,,,,,,,,,,5409582318,nodes
Limpopo Valley Horse Safaris,,isolated_dwelling,,,,,,,,,,,,,,,8779081244,nodes
Tlapa,,village,,,,,,,,,,,,,,,8776951442,nodes
Mogale City,,town,,,"North West, South Africa",observation,,,,,,,,,,,355620362,nodes
Bokmakierie,,hamlet,,,"Mopane, Limpopo, South Africa",,,,,,,,,,,,2497536591,nodes
Swartkop,,village,,,,http://census2011.adrianfrith.com/place/379008,,,,,,,,,,,2498916750,nodes
Nababeep,,village,,,Northern Cape (South Africa),,,,,,,,,,,,243652300,nodes
Kuilsrivier,,town,,45000,,sagns,,,,,,,,,,,262720890,nodes
Straussburg,,village,,,,http://census2011.adrianfrith.com/place/379006,,,,,,,,,,,2498916753,nodes
Kalksloot,,village,,,,,,,,,,,,,,,2498759871,nodes
Raaswater,,village,,,,,,,,,,,,,,,2497968569,nodes
Mbhokota Village,,town,,,,,,,,,,,,,,,8730581571,nodes
"Jimmy Jones, South Africa",,town,,,,,,,,,,,,,,,8730638683,nodes
Malamulele,,town,,,,,,,,,,,,,,,8730652705,nodes
Lister's Point,,village,,,,topographical,,,,,,,,,,,1396281283,nodes
Rocktail Beach Camp,,village,,,,,,,,,,,,,,,2478775171,nodes
Kliphuis,,village,,,,,,,,,,,,,,,2320722259,nodes
Churchhaven,,village,,,"Western cape, South Africa",,,,,,,,,,,,506088195,nodes
Stofbergsfontein,,village,,,,,,,,,,,,,,,506088196,nodes
Grootkolk Wilderness Camp,,village,,,,,,,,,,,,,,,2132521957,nodes
Mashobye,,village,,,"Limpopo, South Africa",sagns,,,,,,,,,,,262709543,nodes
Ntlhaveni,,village,,,"Limpopo, South Africa",sagns,,,,,,,,,,,262714129,nodes
,,hamlet,,,,,,,,,,,,,,,2471689864,nodes
Munywaneni Bush Lodge,,village,,,,,,,,,,,,,,,2057417500,nodes
